City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,swakopmund,-22.6833,14.5333,12.77,79,19,5.36,NA,1722361067
130,san carlos,9.6612,-68.5827,25.48,94,98,1.96,VE,1722361068
131,nuuk,64.1835,-51.7216,4.34,87,75,6.17,GL,1722361069
132,yangquan,37.8575,113.5633,23.55,76,98,1.66,CN,1722361070
133,usinsk,65.9939,57.5281,16.96,86,100,4.11,RU,1722361071
134,tralee,52.2704,-9.7026,21.14,64,0,3.09,IE,1722361073
135,hithadhoo,-0.6,73.0833,28.9,75,100,4.68,MV,1722361074
136,anadyr,64.75,177.4833,12.28,81,0,5.0,RU,1722361075
137,kimbe,-5.5502,150.1429,23.08,94,81,1.02,PG,1722361076
138,saipan,15.1355,145.701,28.39,78,40,1.54,MP,1722361077
139,taft,31.7471,54.2088,34.97,18,4,4.12,IR,1722361078
140,colonia,50.9333,6.95,31.14,40,0,2.06,DE,1722360920
141,chaadayevka,53.1427,45.9122,19.41,45,29,3.41,RU,1722361080
142,margate,51.3813,1.3862,22.61,73,40,4.61,GB,1722361082
143,mando,10.7167,6.5667,24.15,91,81,2.23,NG,1722361083
144,makhambet,47.6667,51.5833,25.41,43,0,4.81,KZ,1722361084
145,arkhangel'sk,64.5401,40.5433,14.06,88,100,4.0,RU,1722361085
146,illizi,26.4833,8.4667,38.89,12,0,7.34,DZ,1722361086
147,filingue,14.3521,3.3168,34.43,37,50,4.46,NE,1722361087
148,nova sintra,14.8667,-24.7167,25.01,76,88,5.99,CV,1722361088
149,avarua,-21.2078,-159.775,19.03,52,20,3.6,CK,1722361089
150,hadibu,12.65,54.0333,26.52,76,81,9.03,YE,1722361091
151,morris,40.8334,-74.5329,30.88,63,75,4.63,US,1722361293
152,rapla,59.0072,24.7928,21.84,72,16,4.9,EE,1722361093
153,palmas,-10.2128,-48.3603,33.93,36,40,3.6,BR,1722361028
154,key largo,25.0865,-80.4473,31.11,60,38,4.23,US,1722360807
155,juneau,58.3019,-134.4197,14.0,95,100,3.6,US,1722361096
156,labasa,-16.4167,179.3833,21.8,80,68,3.65,FJ,1722361097
157,codrington,-38.2667,141.9667,5.1,92,17,3.25,AU,1722361098
158,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,1722361099
159,malalag,6.5958,125.3992,25.01,91,48,1.74,PH,1722361101
160,tahe,52.3333,124.7333,18.27,97,100,1.18,CN,1722361102
161,alliance,40.9153,-81.1059,26.62,84,100,4.89,US,1722361103
162,port sudan,19.6175,37.2164,31.08,59,93,5.28,SD,1722361104
163,inhambane,-23.865,35.3833,18.58,83,3,2.39,MZ,1722361105
164,keflavik,64.0049,-22.5624,11.24,76,75,6.17,IS,1722361106
165,gaiman,-43.2897,-65.4929,15.43,15,50,3.77,AR,1722361108
166,bhimunipatnam,17.8833,83.4333,29.24,73,95,5.18,IN,1722361109
167,palmer,42.1584,-72.3287,30.27,67,78,5.13,US,1722361111
168,gao,16.6362,1.637,36.42,33,19,4.09,ML,1722361112
169,tolanaro,-25.0319,46.9987,22.04,78,75,0.0,MG,1722361113
170,floro,61.5996,5.0328,14.98,72,75,4.12,NO,1722361114
171,lasem,-6.6922,111.4527,25.11,77,41,3.23,ID,1722361115
172,port lincoln,-34.7333,135.8667,10.59,52,70,4.55,AU,1722361116
173,hermanus,-34.4187,19.2345,9.89,74,5,1.75,ZA,1722361117
174,perevoz,55.5961,44.5446,16.74,72,100,1.84,RU,1722361118
175,es castell,39.8795,4.2854,32.38,27,0,3.09,ES,1722361119
176,banda aceh,5.5577,95.3222,27.48,77,96,5.2,ID,1722361121
177,grand falls-windsor,48.9332,-55.6649,33.06,45,63,6.36,CA,1722361122
178,sitangkai,4.6628,119.3928,28.56,73,87,1.71,PH,1722361123
179,badger,64.8,-147.5333,12.78,86,75,3.09,US,1722361124
180,tanjung selor,2.8372,117.3642,23.3,97,89,0.86,ID,1722361125
181,aykhal,66.0,111.5,6.73,77,15,2.24,RU,1722361126
182,el granada,37.5027,-122.4694,23.1,83,75,5.66,US,1722361127
183,antsiranana,-12.2787,49.2917,22.93,64,17,6.29,MG,1722361128
184,kuznetsk,53.1167,46.6004,18.53,40,14,1.91,RU,1722361130
185,nar'yan-mar,67.6713,53.087,14.62,90,99,3.84,RU,1722361131
186,huanggang,23.677,116.9996,26.94,93,88,1.02,CN,1722361132
187,serdar,38.9764,56.2757,29.58,38,0,4.43,TM,1722361133
188,urangan,-25.3,152.9,14.18,68,42,7.04,AU,1722361134
189,atafu village,-8.5421,-172.5159,27.79,76,100,10.58,TK,1722361135
